"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04510","Focal adhesion","174/5851","203/8662",1.80571466609787e-09,5.54846870128254e-08,2.95480581725106e-08,"PTEN/SHC4/ITGA8/COL6A1/CRK/BCAR1/COL4A5/AKT3/VEGFD/LAMA1/LAMA4/TNXB/DOCK1/LAMB4/VEGFC/ROCK1/LAMC1/MAPK8/IBSP/MAP2K1/FLNC/ERBB2/RELN/LAMB2/LAMA2/PIP5K1C/PRKCB/DIAPH1/EGF/TNC/TLN1/PIK3CA/THBS1/EGFR/RAC1/ITGB3/COL4A4/COL6A3/COL6A6/CCND1/COL6A5/CAV3/BIRC3/JUN/TNN/ITGA9/ACTN4/LAMA5/HRAS/MYL9/ITGA2/ELK1/COL6A2/FLT1/PPP1R12A/IGF1R/ITGA5/PDGFRA/HGF/PDGFD/FLNA/PPP1R12C/VTN/RAP1B/RAC2/PIP5K1A/ITGB6/RASGRF1/LAMC2/LAMB1/ACTN1/ARHGAP5/KDR/MAPK9/XIAP/THBS2/BAD/VWF/TLN2/SHC3/PAK2/PTK2/GSK3B/COL9A2/PIP5K1B/COL1A1/PAK3/PRKCG/ITGB1/SHC2/PIK3R1/FN1/VAV2/COL1A2/ITGB5/PDGFA/FLT4/BRAF/MYLK/ITGA4/COL4A3/MYLK3/THBS4/PDGFC/PXN/ARHGAP35/CHAD/CTNNB1/ITGA10/SOS1/RAF1/PIK3R3/ITGA6/ITGAV/BIRC2/CAPN2/PIK3CD/ROCK2/TNR/COL4A2/COL4A1/PARVG/SRC/MAPK1/ITGA11/MYL12B/LAMA3/MYLK2/ITGB8/ITGA1/VAV1/ITGB7/ACTG1/CRKL/VCL/PRKCA/LAMC3/VAV3/PDGFRB/MAPK10/PAK1/PIK3CB/SOS2/PIK3R2/ACTB/COL4A6/MYL7/LAMB3/THBS3/CCND2/SPP1/COL2A1/ILK/BUB1B-PAK6/PAK6/ITGA2B/RHOA/RAPGEF1/MYLK4/AKT1/FLNB/COL9A1/FYN/VEGFA/MYL10/AKT2/SHC1/VASP/ITGA7/RAC3/ITGB4/ITGA3/PPP1R12B/CDC42",174
"hsa04010","MAPK signaling pathway","248/5851","301/8662",2.93755025161042e-09,8.27409987536935e-08,4.40632537741563e-08,"ANGPT4/FLT3/FGF16/GADD45G/FGF9/RPS6KA5/FGF10/CRK/CACNG2/RASGRF2/BDNF/AKT3/VEGFD/EPHA2/MAPK8IP2/DUSP6/CACNG4/HSPA1A/HSPA1B/CACNG1/HSPA1L/TNF/DUSP5/TAOK2/VEGFC/DUSP2/SRF/JUND/FGF18/FGF17/HSPB1/RRAS/PLA2G4A/MAPK8/RPS6KA3/EFNA4/MAP2K1/FLNC/RPS6KA6/NFKB2/ERBB2/IRAK1/DUSP7/PLA2G4D/FGF20/RASGRP1/CACNB2/PRKCB/CACNG3/CACNA2D2/EREG/EGF/DUSP1/HSPA6/MAPK8IP3/MAP3K1/MAP3K5/NRTN/MYC/CACNB3/NGF/EGFR/PSPN/RAC1/FGF6/CACNA1S/CACNA2D1/FGF19/FGF4/NRAS/EFNA2/IL1A/TP53/MAP2K3/GNG12/FASLG/ERBB4/JUN/CACNA2D4/CACNA1C/CACNA1I/TAB1/HRAS/MAP2K5/NFATC1/MAPT/MAPK12/INSR/ELK1/FLT1/IGF1R/PRKACA/STK3/LAMTOR3/PDGFRA/PTPRR/HGF/CACNA1F/PDGFD/CDC25B/CACNG5/FLNA/TGFBR2/MAP3K8/PRKACG/FGF1/RPS6KA4/RASGRP2/RASA1/MECOM/NFATC3/MAP3K13/RAP1B/RAC2/FGF21/MAP2K4/RET/TAOK3/MAPK8IP1/RASGRF1/DUSP10/ELK4/IKBKB/TGFB2/ANGPT2/NTRK2/KDR/MAPK9/FGF23/KIT/CACNA1A/PAK2/IL1R1/MKNK2/PRKCG/CACNG8/CACNG6/CD14/CHUK/MAP2K2/RAPGEF2/PDGFA/ECSIT/ERBB3/FLT4/MAP3K12/MAP3K7/FGF2/FGFR3/BRAF/MAP3K4/MEF2C/FGF5/PPP5C/RPS6KA2/PDGFC/RELB/CACNA1G/MAP3K10/CACNA1H/IRAK4/MAP4K3/TRAF6/RELA/SOS1/RAF1/CACNA1D/TAOK1/RASGRP3/MAPKAPK5/NF1/NGFR/IL1RAP/MAP2K6/MAP4K4/GADD45A/MAP3K6/NTRK1/CACNA1E/DUSP8/RPS6KA1/MAPK1/PPM1A/FOS/MAP3K14/MAPK11/RRAS2/GDNF/NTF3/MAPKAPK3/DUSP16/CRKL/PRKCA/TEK/ATF4/DAXX/HSPA8/IL1B/PPP3CB/PDGFRB/MAPK10/PAK1/CSF1/SOS2/MAP3K9/MAPK13/GNA12/CACNA1B/MAP3K3/ARRB2/TGFB1/FAS/EFNA5/MAP4K1/PLA2G4E/NR4A1/FGFR4/NFKB1/CACNG7/PLA2G4F/FGFR1/CASP3/MKNK1/FGFR2/ANGPT1/TAB2/TGFBR1/MAX/AKT1/FLNB/ARRB1/MAPK14/MAP3K11/VEGFA/NTF4/RASA2/PLA2G4C/AKT2/TNFRSF1A/NLK/RASGRP4/KRAS/CACNB1/RAC3/CACNA2D3/CACNB4/CDC42/PRKACB",248
"hsa05205","Proteoglycans in cancer","175/5851","205/8662",3.22072813709e-09,8.37389315643399e-08,4.45946972827846e-08,"TWIST2/SDC4/WNT7A/MMP9/AKT3/WNT8B/TNF/ROCK1/HSPB2/TIMP3/RRAS/FZD1/LUM/MSN/MAP2K1/FLNC/IHH/ERBB2/TLR4/PRKCB/FZD9/IL12B/WNT3A/PIK3CA/MYC/THBS1/ANK2/EGFR/RAC1/FZD7/HBEGF/ITGB3/ITPR3/HOXD10/MDM2/CAMK2B/CCND1/NRAS/HSPG2/CBL/CAV3/FZD10/FZD5/FZD4/FZD2/TP53/STAT3/FASLG/WNT9A/WNT6/ERBB4/CTTN/SMAD2/HRAS/TIAM1/MAPK12/ITGA2/ELK1/PPP1R12A/IGF1R/PRKACA/ITGA5/SLC9A1/HGF/SDC2/TFAP4/FLNA/ARHGEF12/PRKACG/PPP1R12C/VTN/ITPR2/FZD3/TGFB2/PLCE1/HIF1A/HPSE/KDR/IQGAP1/PTPN6/SMO/PTK2/ESR1/ANK3/COL1A1/PRKCG/ITGB1/PIK3R1/ANK1/HPSE2/FN1/WNT2/MAP2K2/VAV2/PTCH1/COL1A2/ITGB5/PLCG2/ITPR1/ERBB3/FGF2/HCLS1/BRAF/PXN/CTNNB1/SOS1/RAF1/PIK3R3/ITGAV/PIK3CD/MTOR/ROCK2/SRC/MAPK1/TWIST1/WNT3/WNT9B/MAPK11/VAV1/MMP2/RRAS2/NANOG/ACTG1/PLAU/PRKCA/PLAUR/PLCG1/VAV3/WNT16/FZD8/PAK1/PIK3CB/SOS2/PIK3R2/ACTB/GPC3/WNT7B/MAPK13/PDCD4/DCN/RPS6KB2/DROSHA/TGFB1/FAS/WNT10A/WNT5A/EIF4B/SHH/WNT8A/RHOA/FGFR1/CASP3/CAMK2G/SDC1/CAMK2A/FZD6/AKT1/FLNB/MAPK14/CAMK2D/VEGFA/WNT11/CD44/GAB1/WNT1/TLR2/WNT5B/AKT2/WNT4/ARHGEF1/KRAS/RPS6KB1/PPP1R12B/CDC42/PRKACB",175
"hsa04360","Axon guidance","157/5851","182/8662",4.20921468617267e-09,1.01622468851883e-07,5.41184745365058e-08,"TRPC4/UNC5D/DPYSL2/SEMA5A/SLIT2/EFNB1/PLXNA3/LRRC4C/GDF7/EPHA2/EPHA3/GNAI1/EFNB3/LRIG2/DCC/ROCK1/NTN3/EPHB3/RRAS/LIMK1/TRPC5/EFNA4/NGEF/PIK3CA/PLXNA4/PLXNA1/BOC/RAC1/CAMK2B/NRAS/EFNA2/EPHA6/ROBO2/CXCR4/DPYSL5/PLXNA2/SEMA7A/EFNB2/EPHA1/NFATC2/HRAS/NRP1/MYL9/SEMA3A/GNAI2/PARD6G/PLXNB2/PLXNB3/L1CAM/SEMA6D/SEMA3C/SLIT1/ARHGEF12/NCK1/NCK2/RASA1/NFATC3/SEMA5B/TRPC3/RAC2/SSH1/FES/FZD3/SEMA6A/EPHB4/EPHA5/EPHA7/SMO/PARD3/UNC5B/PAK2/PTK2/GSK3B/PAK3/ITGB1/PIK3R1/PTCH1/EPHB2/SEMA3E/SEMA4C/PLCG2/EPHB1/SRGAP3/UNC5C/SLIT3/NTNG1/ABLIM3/SRGAP1/TRPC1/SEMA4A/RAF1/PIK3R3/PRKCZ/SEMA4F/EPHA4/SSH2/PIK3CD/ROCK2/GNAI3/NFATC4/SRC/MAPK1/BMP7/NEO1/MYL12B/PARD6B/TRPC6/PRKCA/SEMA3F/PLCG1/EPHB6/PLXNC1/PPP3CB/NTN1/PAK1/PIK3CB/SEMA4D/PIK3R2/LIMK2/NTNG2/SEMA4G/SEMA6B/EFNA5/CFL1/WNT5A/SEMA4B/ILK/SHH/SEMA3D/EPHA8/RGS3/BUB1B-PAK6/PAK6/RGMA/SSH3/RHOA/ABLIM1/CAMK2G/UNC5A/SEMA3B/PLXNB1/PARD6A/CXCL12/CAMK2A/FYN/CAMK2D/ROBO1/BMPR1B/WNT5B/WNT4/SRGAP2/BMPR2/ROBO3/KRAS/RAC3/SEMA6C/CDC42",157
"hsa04933","AGE-RAGE signaling pathway in diabetic complications","92/5851","100/8662",4.99278543286243e-09,1.125040984205e-07,5.99134251943492e-08,"EDN1/COL4A5/AKT3/VEGFD/SERPINE1/JAK2/TNF/VEGFC/VCAM1/ICAM1/THBD/MAPK8/CYBB/EGR1/PRKCB/DIAPH1/NOX1/PIK3CA/RAC1/COL4A4/CCND1/NRAS/IL1A/STAT3/AGT/JUN/SMAD2/COL3A1/HRAS/PLCB2/NFATC1/MAPK12/PRKCE/TGFBR2/PLCB4/SMAD4/NOS3/SELE/TGFB2/PLCE1/PLCB3/MAPK9/AGTR1/COL1A1/PIM1/PIK3R1/PLCD4/FN1/COL1A2/PLCG2/COL4A3/STAT5B/PRKCD/RELA/PIK3R3/PRKCZ/PIK3CD/FOXO1/COL4A2/COL4A1/MAPK1/MAPK11/MMP2/NOX4/PRKCA/AGER/PLCG1/IL1B/F3/MAPK10/PIK3CB/PIK3R2/COL4A6/MAPK13/CDK4/PLCB1/PLCD1/TGFB1/NFKB1/CASP3/TGFBR1/AKT1/SMAD3/BAX/MAPK14/CDKN1B/VEGFA/CCL2/AKT2/KRAS/STAT1/CDC42",92
"hsa05226","Gastric cancer","131/5851","149/8662",5.77963091081505e-09,1.22094702990968e-07,6.50208477466693e-08,"CSNK1A1L/SHC4/MUC2/FGF16/GADD45G/FGF9/LRP6/WNT7A/FGF10/FRAT1/E2F1/FRAT2/E2F2/AKT3/WNT8B/CDX2/TCF7L1/RXRB/CCNE1/CTNNA3/FGF18/FGF17/FZD1/ABCB1/MAP2K1/ERBB2/CDH1/CDKN2B/FGF20/TCF7L2/FZD9/EGF/WNT3A/PIK3CA/MYC/CTNNA2/EGFR/FGF6/FZD7/CCND1/FGF19/FGF4/NRAS/FZD10/FZD5/FZD4/FZD2/TP53/WNT9A/WNT6/SMAD2/RB1/HRAS/CDH17/HGF/CTNNA1/TGFBR2/FGF1/FGF21/SMAD4/APC2/RXRG/FZD3/TGFB2/FGF23/SHC3/GSK3B/SHC2/PIK3R1/WNT2/MAP2K2/TERT/TCF7/FGF2/BRAF/POLK/FGF5/APC/DVL3/CTNNB1/LRP5/SOS1/DDB2/RAF1/PIK3R3/JUP/AXIN2/GADD45A/DVL1/PIK3CD/MTOR/MAPK1/AXIN1/WNT3/WNT9B/RXRA/WNT16/FZD8/PIK3CB/SOS2/PIK3R2/WNT7B/CCNE2/LEF1/RPS6KB2/TGFB1/WNT10A/WNT5A/SHH/REG4/WNT8A/DVL2/FGFR2/TGFBR1/FZD6/AKT1/SMAD3/BAX/CDKN1B/WNT11/CSNK1A1/GAB1/WNT1/RARB/WNT5B/AKT2/WNT4/SHC1/KRAS/RPS6KB1/MLH1",131
"hsa04926","Relaxin signaling pathway","115/5851","129/8662",7.67530107885632e-09,1.52603044979614e-07,8.12678937761257e-08,"SHC4/RXFP2/EDN1/GNA15/MMP9/CREB5/ADCY1/COL4A5/RLN3/AKT3/VEGFD/GNG11/ATF6B/RXFP3/VEGFC/GNAI1/GNG10/MAPK8/MAP2K1/MMP1/RLN2/RLN1/RXFP4/GNG3/PIK3CA/GNG8/ADCY6/EGFR/INSL3/COL4A4/GNG13/NRAS/INSL5/GNG12/GNB1/JUN/ADCY4/SMAD2/COL3A1/HRAS/PLCB2/ADCY2/ADCY9/MAPK12/GNAI2/PRKACA/ADCY8/TGFBR2/PLCB4/PRKACG/RXFP1/NOS3/MAP2K4/CREB3L1/PLCB3/GNB4/GNB2/ADCY7/GNB3/MAPK9/GNAS/SHC3/GNG2/COL1A1/SHC2/PIK3R1/MAP2K2/COL1A2/ADCY3/NOS2/CREB3L2/COL4A3/RELA/SOS1/RAF1/ADCY5/PIK3R3/PRKCZ/PIK3CD/GNAI3/COL4A2/COL4A1/SRC/MAPK1/FOS/MAPK11/MMP2/EDNRB/PRKCA/ATF4/MAPK10/PIK3CB/SOS2/PIK3R2/GNB5/COL4A6/MAPK13/PLCB1/ARRB2/TGFB1/NFKB1/ACTA2/CREB3L3/TGFBR1/AKT1/ARRB1/MAPK14/MMP13/VEGFA/NOS1/AKT2/SHC1/KRAS/CREB1/PRKACB",115
"hsa04742","Taste transduction","80/5851","86/8662",1.33058699492057e-08,2.49854669046196e-07,1.33058699492057e-07,"TAS2R60/TAS2R41/TAS2R20/TAS2R50/TAS2R19/TAS2R42/TAS2R7/TAS2R31/TAS2R8/TAS2R13/TAS2R10/TAS2R14/TAS2R46/HCN4/SCNN1G/HTR1E/GABRA4/GNAT3/TAS2R16/TAS2R3/P2RY1/TAS2R5/TAS2R38/TAS2R4/HTR1A/CALHM1/GABRA2/P2RY4/ASIC2/TAS2R39/TAS2R40/TAS2R1/PKD1L3/GABRA3/PKD2L1/HTR1F/KCNK5/ADCY6/P2RX3/ITPR3/HTR3C/GNG13/TAS1R3/TAS1R2/HTR1D/CACNA1C/ADCY4/PLCB2/TAS2R30/GABBR2/PRKACA/PDE1C/ADCY8/GABBR1/HTR1B/PLCB4/PRKACG/GABRA6/PLCB3/GNB3/CHRM3/CACNA1A/SCNN1A/GABRA5/P2RX2/GRM4/GRM1/HTR3B/HTR3E/HTR3D/SCN2A/SCN9A/PDE1A/SCN3A/SCNN1B/GABRA1/PDE1B/PLCB1/TAS1R1/PRKACB",80
"hsa04919","Thyroid hormone signaling pathway","108/5851","121/8662",1.88977732453328e-08,3.30547816119093e-07,1.76031381365198e-07,"CREBBP/KAT2B/AKT3/PLN/RXRB/NOTCH4/NOTCH1/EP300/PFKFB2/MAP2K1/RCAN2/PRKCB/PIK3CA/MYC/MYH6/MYH7/ITGB3/SLC16A10/MDM2/CCND1/NRAS/NCOA1/MED13/TP53/MED14/HRAS/PLCB2/BMP4/ATP2A3/MED27/MED16/PRKACA/MED30/SLC9A1/MED17/PLCB4/PRKACG/ATP1B2/MED12/RXRG/ATP1A2/THRB/ATP1A4/PLCE1/HIF1A/PLCB3/ATP1A1/NOTCH3/BAD/PFKP/SLCO1C1/MED13L/GSK3B/ESR1/PRKCG/SIN3A/PIK3R1/PLCD4/MAP2K2/KAT2A/PLCG2/MED12L/ATP1A3/FXYD2/CTNNB1/NOTCH2/RAF1/PIK3R3/ITGAV/MED1/PIK3CD/MTOR/TBC1D4/FOXO1/NCOA3/SRC/MAPK1/PFKL/SLC16A2/RXRA/ACTG1/NCOA2/PRKCA/PLCG1/ATP2A1/ATP1B4/ATP1B3/THRA/PIK3CB/PIK3R2/ACTB/PLCZ1/PLCB1/PLCD1/HDAC3/AKT1/ATP2A2/MED24/TSC2/AKT2/WNT4/NCOR1/PFKM/KRAS/ATP1B1/STAT1/SLC2A1/PRKACB",108
"hsa04928","Parathyroid hormone synthesis, secretion and action","96/5851","106/8662",1.95590423739109e-08,3.30547816119093e-07,1.76031381365198e-07,"MMP24/LRP6/CREB5/ADCY1/KL/MAFB/RXRB/ATF6B/GCM1/GNAI1/TRPV5/GCM2/JUND/MAP2K1/BGLAP/EGR1/PRKCB/ADCY6/EGFR/MMP15/HBEGF/PLD1/ITPR3/SOST/ADCY4/PLCB2/ADCY2/ADCY9/SLC34A2/TNFSF11/MMP16/RUNX2/GNAI2/PRKACA/AKAP13/ADCY8/SLC34A3/GNA13/PLCB4/PRKACG/CYP24A1/RXRG/ITPR2/CREB3L1/PDE4C/PLCB3/PTH1R/ADCY7/GNAS/FGF23/PLD2/GATA3/NACA/SP1/PRKCG/ITPR1/ADCY3/BRAF/MEF2C/CREB3L2/PDE4D/ARHGEF11/LRP5/PTH/RAF1/ADCY5/PDE4B/NR4A2/GNAI3/MEF2D/MAPK1/FOS/GNAQ/RXRA/PDE4A/PRKCA/ATF4/SLC34A1/MMP14/GNA12/PLCB1/ARRB2/VDR/MMP25/RHOA/FGFR1/MEF2A/MMP17/CREB3L3/ARRB1/MMP13/CASR/ARHGEF1/CYP27B1/CREB1/PRKACB",96
"hsa04550","Signaling pathways regulating pluripotency of stem cells","125/5851","143/8662",2.90783147510039e-08,4.54709766809295e-07,2.42153130253471e-07,"LIF/ID1/WNT7A/ID3/AKT3/WNT8B/JAK2/HESX1/HAND1/ESX1/SOX2/INHBB/MYF5/INHBC/FZD1/ONECUT1/MAP2K1/FZD9/WNT3A/PIK3CA/MYC/LHX5/NEUROG1/RIF1/FZD7/LEFTY1/LEFTY2/NRAS/PAX6/INHBE/FZD10/SETDB1/FZD5/FZD4/FZD2/STAT3/WNT9A/WNT6/SMAD2/HRAS/BMP4/JARID2/ISL1/ZIC3/MAPK12/KLF4/IGF1R/ZFHX3/OTX1/DLX5/LIFR/REST/SMAD4/APC2/TBX3/FZD3/GSK3B/ACVR1B/SMARCAD1/PCGF3/PIK3R1/WNT2/MAP2K2/IL6ST/POU5F1B/TCF7/FGF2/FGFR3/JAK3/ACVR1C/ACVR1/APC/HOXD1/DVL3/TCF3/CTNNB1/RAF1/HOXB1/PIK3R3/AXIN2/DVL1/PIK3CD/JAK1/MAPK1/AXIN1/WNT3/WNT9B/MAPK11/NANOG/SMAD9/WNT16/FZD8/ESRRB/PIK3CB/KAT6A/PIK3R2/WNT7B/MAPK13/BMI1/PCGF1/SMAD1/WNT10A/WNT5A/ACVR2A/FGFR4/WNT8A/PCGF5/FGFR1/DVL2/FGFR2/FZD6/AKT1/SMAD3/MAPK14/WNT11/WNT1/BMPR1B/WNT5B/AKT2/ID2/SMAD5/WNT4/BMPR2/KRAS/SKIL",125
"hsa04512","ECM-receptor interaction","82/5851","89/8662",2.95964936976464e-08,4.54709766809295e-07,2.42153130253471e-07,"FREM2/ITGA8/COL6A1/SDC4/GP1BB/COL4A5/LAMA1/LAMA4/TNXB/LAMB4/LAMC1/IBSP/RELN/LAMB2/LAMA2/TNC/GP9/THBS1/GP1BA/ITGB3/GP5/COL4A4/COL6A3/COL6A6/HSPG2/COL6A5/TNN/ITGA9/LAMA5/ITGA2/COL6A2/ITGA5/VTN/FREM1/ITGB6/LAMC2/LAMB1/FRAS1/THBS2/DMP1/VWF/COL9A2/COL1A1/ITGB1/SV2C/FN1/COL1A2/ITGB5/AGRN/SV2A/ITGA4/COL4A3/THBS4/CHAD/ITGA10/ITGA6/ITGAV/TNR/COL4A2/COL4A1/ITGA11/LAMA3/ITGB8/ITGA1/ITGB7/LAMC3/COL4A6/LAMB3/THBS3/SPP1/COL2A1/MEPE/SV2B/HMMR/ITGA2B/SDC1/COL9A1/CD44/DAG1/ITGA7/ITGB4/ITGA3",82
"hsa04015","Rap1 signaling pathway","176/5851","210/8662",5.36971500490275e-08,7.89114639850926e-07,4.20238565601085e-07,"ANGPT4/FGF16/FGF9/ID1/FGF10/CRK/ADCY1/BCAR1/AKT3/VEGFD/EPHA2/CALML5/CALML3/VEGFC/GNAI1/ARAP3/P2RY1/LPAR3/PFN3/FGF18/FGF17/RRAS/ITGAL/EFNA4/MAP2K1/CNR1/CDH1/FGF20/PRKCB/RGS14/EGF/F2R/F2RL3/CTNND1/TLN1/PIK3CA/THBS1/ADCY6/NGF/EGFR/RAC1/FGF6/PFN1/ITGB3/FGF19/FGF4/NRAS/EFNA2/SIPA1L2/ADORA2B/MAP2K3/PFN4/ADCY4/HRAS/PLCB2/ADCY2/ADCY9/APBB1IP/ITGB2/TIAM1/MAPK12/INSR/GNAI2/FLT1/PARD6G/IGF1R/PDGFRA/HGF/ADCY8/RAPGEF3/PDGFD/SIPA1L3/PLCB4/FGF1/RASGRP2/RALGDS/RAP1B/RAC2/FGF21/ITGAM/MAGI3/FARP2/PLCE1/PLCB3/ANGPT2/PRKD1/ADCY7/PRKD3/KDR/GNAS/PARD3/FGF23/LPAR5/TLN2/KIT/GRIN2A/CALM1/DOCK4/PRKCG/ITGB1/PIK3R1/MAP2K2/VAV2/RAPGEF2/GRIN2B/PDGFA/FLT4/ADCY3/FGF2/FGFR3/BRAF/FGF5/FPR1/PDGFC/MAGI2/MAGI1/CTNNB1/RAF1/ADCY5/RASGRP3/PIK3R3/NGFR/PRKCZ/PRKCI/DRD2/MAP2K6/RAP1GAP/PIK3CD/GNAI3/SRC/ADORA2A/MAPK1/GNAQ/MAPK11/VAV1/ACTG1/CRKL/PARD6B/PRKCA/TEK/PLCG1/VAV3/PDGFRB/CSF1/PIK3CB/PIK3R2/LPAR4/LCP2/ACTB/MAPK13/SIPA1L1/LPAR1/PLCB1/EFNA5/FGFR4/KRIT1/ITGA2B/RHOA/FGFR1/RAPGEF1/PARD6A/FGFR2/ANGPT1/AKT1/LAT/MAPK14/SIPA1/VEGFA/RAPGEF5/AKT2/PFN2/RASSF5/VASP/KRAS/RAC3/CDC42",176
"hsa05146","Amoebiasis","92/5851","102/8662",6.45674438182695e-08,9.09324833773962e-07,4.84255828637022e-07,"MUC2/GNA14/GNA15/SERPINB4/ADCY1/COL4A5/CSF2/LAMA1/LAMA4/TNF/LAMB4/SERPINB9/CTSG/LAMC1/HSPB1/CXCL2/LAMB2/LAMA2/CXCL1/CXCL3/TLR4/PRKCB/IL12B/CD1A/PIK3CA/COL4A4/IFNG/C8A/C8B/CD1D/COL3A1/ACTN4/LAMA5/PLCB2/ITGB2/RAB5A/PRKACA/C8G/PLCB4/SERPINB6/PRKACG/SERPINB10/ITGAM/LAMC2/LAMB1/RAB7A/TGFB2/ACTN1/PLCB3/GNAS/PTK2/IL1R1/COL1A1/PRKCG/CD14/C9/CD1C/PIK3R1/FN1/RAB5B/COL1A2/NOS2/COL4A3/RELA/IL12A/PIK3R3/PIK3CD/COL4A2/COL4A1/GNAQ/LAMA3/GNAL/VCL/PRKCA/IL1B/LAMC3/ARG2/PIK3CB/PIK3R2/COL4A6/LAMB3/PLCB1/TGFB1/NFKB1/CASP3/CD1B/CD1E/TLR2/IL1R2/RAB5C/IL10/PRKACB",92
"hsa04611","Platelet activation","109/5851","124/8662",1.16030054306358e-07,1.56872633422196e-06,8.35416391005779e-07,"GP1BB/P2RX1/ADCY1/AKT3/GNAI1/P2RY1/ROCK1/PIK3R6/PLA2G4A/BTK/PLA2G4D/RASGRP1/TBXA2R/F2R/GP9/F2RL3/TLN1/PIK3CA/ADCY6/PIK3CG/GP1BA/P2RY12/FGA/ITGB3/GP5/ITPR3/ADCY4/COL3A1/PLCB2/ADCY2/ADCY9/APBB1IP/MAPK12/ITGA2/GNAI2/PPP1R12A/PRKACA/ADCY8/ARHGEF12/GNA13/PLCB4/PRKACG/RASGRP2/RAP1B/GUCY1A2/NOS3/ITPR2/PLCB3/ADCY7/GNAS/VWF/TLN2/COL1A1/ITGB1/PIK3R1/PIK3R5/COL1A2/PLCG2/ITPR1/ADCY3/MYLK/TBXAS1/MYLK3/ARHGAP35/FERMT3/ADCY5/PIK3R3/F2/PRKCZ/PRKCI/PIK3CD/ROCK2/GNAI3/SRC/MAPK1/GNAQ/LYN/MYL12B/MYLK2/SYK/MAPK11/ACTG1/PRKG1/PIK3CB/PIK3R2/LCP2/ACTB/MAPK13/PTGS1/PLCB1/PLA2G4E/ITGA2B/PLA2G4F/RHOA/MYLK4/AKT1/MAPK14/FYN/FGB/FGG/PRKG2/PLA2G4C/AKT2/ORAI1/VASP/STIM1/ARHGEF1/FCGR2A/PRKACB",109
"hsa05130","Pathogenic Escherichia coli infection","165/5851","198/8662",3.09428421442997e-07,4.02256947875896e-06,2.14219676383613e-06,"CLDN17/CLDN8/TUBAL3/CLDN23/TUBB1/TUBB6/CLDN9/CLDN6/CLDN5/TUBB4B/TUBA3E/PYCARD/NLRP4/TNF/SEC24C/CLDN20/ROCK1/NCKAP1L/BRK1/CLDN22/CLDN3/CLDN34/MAPK8/TUBB2B/TUBB2A/WASL/CLDN1/CLDN16/TUBA3D/IRAK1/CLDN4/TLR4/ARF6/F2R/MYH10/FADD/RAC1/MYH14/MYO1H/CLDN25/MYO1D/MYO1F/CASP8/FASLG/JUN/CTTN/WASF3/CYFIP1/TAB1/MYO1E/MYO10/TJP1/MYH11/MAPK12/SEC24B/WIPF2/SEC24D/TUBA3C/NAIP/MYH9/ARHGEF12/GNA13/MYO5B/NCK1/RPS3/NCK2/TUBB4A/CLDN2/MYO1G/CYTH4/MYO5C/ABCF2/IKBKB/SEC24A/MAPK9/PTPN6/LPAR5/MYO5A/PAK2/MYO6/TLR5/IL1R1/PAK3/ITGB1/WIPF3/CHUK/BAIAP2/ARPC1B/CYFIP2/MAP3K7/HCLS1/TUBA4A/ACTR3C/IRAK4/ARHGEF11/TRAF6/RELA/F2/CYTH1/WIPF1/NLRP3/NCKAP1/ACTR2/ROCK2/CLDN7/NFKBIB/SRC/MAPK1/FOS/MAPK11/CYCS/TMED10/TUBA8/TMBIM6/CLDN10/ACTG1/WASF1/TUBB8/BAIAP2L1/IL1B/MYO1C/MAPK10/PAK1/TAB3/LPAR4/ACTB/CLDN15/RIPK1/MAPK13/MYO1B/GNA12/LPAR1/TNFRSF10B/TNFRSF10A/CASP7/TUBA1B/FAS/MYO1A/TUBB3/GAPDH/CASP4/NCL/NFKB1/RHOA/ABI1/CASP3/ARPC1A/TUBA1A/TAB2/BAX/MAPK14/FYN/CYTH3/CASP1/TNFRSF1A/CYTH2/ARHGEF1/CLDN18/ARPC2/CLDN11/ARHGEF2/RAB1A/FCGR2A/WASF2/CDC42",165
"hsa04971","Gastric acid secretion","70/5851","76/8662",3.31836617115899e-07,4.15410283648791e-06,2.21224411410599e-06,"KCNJ15/KCNE2/ADCY1/ATP4B/CALML5/CALML3/GNAI1/KCNJ2/KCNJ1/PRKCB/ADCY6/CFTR/ITPR3/CAMK2B/GAST/SST/ADCY4/KCNQ1/PLCB2/ADCY2/ADCY9/CA2/GNAI2/PRKACA/SLC9A1/ADCY8/PLCB4/PRKACG/ATP1B2/ITPR2/ATP1A2/ATP1A4/PLCB3/ADCY7/ATP1A1/SLC4A2/GNAS/CHRM3/SLC26A7/CALM1/PRKCG/KCNJ16/KCNK10/ITPR1/SSTR2/ADCY3/MYLK/ATP1A3/MYLK3/ATP4A/ADCY5/CCKBR/GNAI3/GNAQ/MYLK2/ACTG1/PRKCA/ATP1B4/ATP1B3/KCNJ10/ACTB/PLCB1/HRH2/KCNK2/CAMK2G/MYLK4/CAMK2A/CAMK2D/ATP1B1/PRKACB",70
